Prefix,Code,Type,Line,Station
0100,00193166,地铁,1号线,芳村
0100,00193167,地铁,1号线,芳村
0100,00193168,地铁,1号线,芳村
0100,00193169,地铁,1号线,芳村
0100,00193170,地铁,1号线,芳村
0100,00193171,地铁,1号线,芳村
0100,00193172,地铁,1号线,芳村
0100,00193173,地铁,1号线,芳村
0100,00193174,地铁,1号线,芳村
0100,00193175,地铁,1号线,芳村
0100,00193176,地铁,1号线,芳村
0100,00193177,地铁,1号线,芳村
0100,00193178,地铁,1号线,芳村
0100,00193179,地铁,1号线,芳村
0100,00193180,地铁,1号线,芳村
0100,00193181,地铁,1号线,芳村
0100,00193182,地铁,1号线,芳村
0100,00193183,地铁,1号线,芳村
0100,00193184,地铁,1号线,芳村
0100,00193185,地铁,1号线,芳村
0100,00193186,地铁,1号线,芳村
0100,00193187,地铁,1号线,芳村
0100,00193188,地铁,1号线,芳村
0100,00193189,地铁,1号线,芳村
0100,00193190,地铁,1号线,芳村
0100,00193191,地铁,1号线,芳村
0100,00193192,地铁,2号线,萧岗
0100,00193193,地铁,2号线,萧岗
0100,00193194,地铁,2号线,萧岗
0100,00193195,地铁,2号线,萧岗
0100,00193196,地铁,2号线,萧岗
0100,00193197,地铁,2号线,萧岗
0100,00193198,地铁,2号线,萧岗
0100,00193199,地铁,2号线,萧岗
0100,00193200,地铁,2号线,萧岗
0100,00193201,地铁,2号线,萧岗
0100,00193202,地铁,2号线,白云文化广场
0100,00193203,地铁,2号线,白云文化广场
0100,00193204,地铁,2号线,白云文化广场
0100,00193205,地铁,2号线,白云文化广场
0100,00193206,地铁,2号线,白云文化广场
0100,00193207,地铁,2号线,白云文化广场
0100,00193208,地铁,2号线,白云文化广场
0100,00193209,地铁,2号线,白云文化广场
0100,00193210,地铁,2号线,白云文化广场
0100,00193211,地铁,2号线,白云文化广场
0100,00193212,地铁,2号线,白云文化广场
0100,00193213,地铁,2号线,白云文化广场
0100,00193214,地铁,2号线,白云文化广场
0100,00193215,地铁,2号线,白云文化广场
0100,00193216,地铁,2号线,白云文化广场
0100,00193217,地铁,2号线,白云文化广场
0100,00193218,地铁,2号线,越秀公园
0100,00193219,地铁,2号线,越秀公园
0100,00193220,地铁,2号线,越秀公园
0100,00193221,地铁,2号线,越秀公园
0100,00193222,地铁,2号线,越秀公园
0100,00193223,地铁,2号线,越秀公园
0100,00193224,地铁,2号线,越秀公园
0100,00193225,地铁,2号线,越秀公园
0100,00193226,地铁,2号线,越秀公园
0100,00193227,地铁,2号线,越秀公园
0100,00193228,地铁,2号线,越秀公园
0100,00193229,地铁,2号线,越秀公园
0100,00193230,地铁,2号线,越秀公园
0100,00193231,地铁,2号线,越秀公园
0100,00193232,地铁,2号线,越秀公园
0100,00193233,地铁,2号线,越秀公园
0100,00193234,地铁,2号线,越秀公园
0100,00193235,地铁,2号线,越秀公园
0100,00193236,地铁,2号线,越秀公园
0100,00193237,地铁,2号线,越秀公园
0100,00193238,地铁,2号线,广州火车站
0100,00193239,地铁,2号线,广州火车站
0100,00193240,地铁,2号线,广州火车站
0100,00193241,地铁,2号线,广州火车站
0100,00193242,地铁,2号线,广州火车站
0100,00193243,地铁,2号线,广州火车站
0100,00193244,地铁,2号线,广州火车站
0100,00193245,地铁,2号线,广州火车站
0100,00193246,地铁,2号线,广州火车站
0100,00193247,地铁,2号线,广州火车站
0100,00193248,地铁,2号线,广州火车站
0100,00193249,地铁,2号线,广州火车站
0100,00193250,地铁,2号线,广州火车站
0100,00193251,地铁,2号线,广州火车站
0100,00193252,地铁,2号线,广州火车站
0100,00193253,地铁,2号线,广州火车站
0100,00193254,地铁,2号线,三元里
0100,00193255,地铁,2号线,三元里
0100,00193256,地铁,2号线,三元里
0100,00193257,地铁,2号线,三元里
0100,00193258,地铁,2号线,三元里
0100,00193259,地铁,2号线,三元里
0100,00193260,地铁,2号线,三元里
0100,00193261,地铁,2号线,三元里
0100,00193262,地铁,2号线,三元里
0100,00193263,地铁,2号线,三元里
0100,00193264,地铁,2号线,三元里
0100,00193265,地铁,2号线,三元里
0100,00193266,地铁,2号线,飞翔公园
0100,00193267,地铁,2号线,飞翔公园
0100,00193268,地铁,2号线,飞翔公园
0100,00193269,地铁,2号线,飞翔公园
0100,00193270,地铁,2号线,飞翔公园
0100,00193271,地铁,2号线,飞翔公园
0100,00193272,地铁,2号线,飞翔公园
0100,00193273,地铁,2号线,飞翔公园
0100,00193274,地铁,2号线,飞翔公园
0100,00193275,地铁,2号线,飞翔公园
0100,00193276,地铁,2号线,飞翔公园
0100,00193277,地铁,2号线,飞翔公园
0100,00193278,地铁,2号线,飞翔公园
0100,00193279,地铁,2号线,飞翔公园
0100,00193280,地铁,2号线,飞翔公园
0100,00193281,地铁,2号线,飞翔公园
0100,00193282,地铁,2号线,白云公园
0100,00193283,地铁,2号线,白云公园
0100,00193284,地铁,2号线,白云公园
0100,00193285,地铁,2号线,白云公园
0100,00193286,地铁,2号线,白云公园
0100,00193287,地铁,2号线,白云公园
0100,00193288,地铁,2号线,白云公园
0100,00193289,地铁,2号线,白云公园
0100,00193290,地铁,2号线,白云公园
0100,00193291,地铁,2号线,白云公园
0100,00193292,地铁,2号线,白云公园
0100,00193293,地铁,2号线,白云公园
0100,00193294,地铁,2号线,白云公园
0100,00193295,地铁,2号线,白云公园
0100,00193296,地铁,2号线,白云公园
0100,00193297,地铁,2号线,白云公园
0100,00193298,地铁,2号线,江南西
0100,00193299,地铁,2号线,江南西
0100,00193300,地铁,2号线,江南西
0100,00193301,地铁,2号线,江南西
0100,00193302,地铁,2号线,江南西
0100,00193303,地铁,2号线,江南西
0100,00193304,地铁,2号线,江南西
0100,00193305,地铁,2号线,江南西
0100,00193306,地铁,2号线,江南西
0100,00193307,地铁,2号线,江南西
0100,00193308,地铁,2号线,江南西
0100,00193309,地铁,2号线,江南西
0100,00193310,地铁,2号线,江南西
0100,00193311,地铁,2号线,江南西
0100,00193312,地铁,2号线,江南西
0100,00193313,地铁,2号线,江南西
0100,00193314,地铁,2号线,市二宫
0100,00193315,地铁,2号线,市二宫
0100,00193316,地铁,2号线,市二宫
0100,00193317,地铁,2号线,市二宫
0100,00193318,地铁,2号线,市二宫
0100,00193319,地铁,2号线,市二宫
0100,00193320,地铁,2号线,市二宫
0100,00193321,地铁,2号线,市二宫
0100,00193322,地铁,2号线,市二宫
0100,00193323,地铁,2号线,市二宫
0100,00193324,地铁,2号线,海珠广场
0100,00193325,地铁,2号线,海珠广场
0100,00193326,地铁,2号线,海珠广场
0100,00193327,地铁,2号线,海珠广场
0100,00193328,地铁,2号线,海珠广场
0100,00193329,地铁,2号线,海珠广场
0100,00193330,地铁,2号线,海珠广场
0100,00193331,地铁,2号线,海珠广场
0100,00193332,地铁,2号线,海珠广场
0100,00193333,地铁,2号线,海珠广场
0100,00193334,地铁,2号线,海珠广场
0100,00193335,地铁,2号线,海珠广场
0100,00193336,地铁,2号线,公园前
0100,00193337,地铁,2号线,公园前
0100,00193338,地铁,2号线,公园前
0100,00193339,地铁,2号线,公园前
0100,00193340,地铁,2号线,公园前
0100,00193341,地铁,2号线,公园前
0100,00193342,地铁,2号线,公园前
0100,00193343,地铁,2号线,公园前
0100,00193344,地铁,2号线,公园前
0100,00193345,地铁,2号线,公园前
0100,00193346,地铁,2号线,公园前
0100,00193347,地铁,2号线,公园前
